,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48
48,21378,20683,20160,19948,19671,19363,19232,19186,19318,19479,20022,20552,22616,24503,26685,27861,28804,29040,29098,28503,28144,28249,28405,28402,28540,28336,28160,27903,28083,28305,28512,28783,29318,30126,30636,30712,30739,31010,31072,31047,30640,30612,30376,29244,27254,25546,23791,22257
49,20999,20298,19611,19354,19136,18854,18512,18382,18371,18413,18856,19632,21555,23211,25391,26852,28183,28652,29092,28726,28271,27914,27695,27506,27610,27310,26784,26785,26643,26660,26831,27151,27643,28112,27945,28769,28634,28568,28600,28175,27661,27765,27899,27155,25955,24317,22849,21596
50,20421,19492,18984,18637,18165,17716,17522,17496,17373,17371,17591,17436,18320,18911,20101,21050,22229,23144,23674,24038,24281,24330,24457,24276,23948,23333,22675,21994,21687,21444,21148,21040,21779,22557,23645,24193,24479,24583,24490,24330,24327,24354,24422,23722,23047,21979,20487,19445
51,18496,17753,17173,16863,16626,16294,16012,15887,15848,15954,16150,16061,16681,17129,17945,18562,19575,20207,21242,21955,22619,22847,23122,23188,23478,23417,23209,22874,22669,22706,23151,23684,24463,25180,26090,26588,26893,27002,26884,26699,26564,26652,26751,25960,25192,23871,22455,21315
52,20238,19558,19216,19003,18811,18637,18523,18490,18603,18897,19697,20403,22508,24417,26638,28218,29400,29930,29818,29170,28806,28829,28622,28718,29024,28869,28686,28351,28060,27898,27797,27802,28042,29032,30045,30513,30489,30895,30642,30663,30253,30171,30301,29264,27760,26210,24397,22895
53,21756,21063,20589,20468,20186,19767,19682,19541,19633,19850,20527,21145,23019,24748,26661,27853,28782,28802,28631,28347,27837,27820,27686,27776,27729,27564,27200,26993,26659,26577,26699,26930,27337,28211,29169,29817,30191,30506,30696,30466,30100,30382,30166,28781,28047,26588,24799,23316
54,22100,21355,20914,20677,20301,19915,19787,19768,19790,20037,20527,21339,23408,25172,27518,29066,30639,31244,31619,31779,32124,32152,32255,32495,32773,32577,32360,32017,31895,31740,31585,31774,31856,32490,32978,33387,33220,32860,32448,32085,31702,31510,31046,29360,27693,25811,23844,22334
55,21374,20551,19988,19493,18917,18663,18550,18432,18514,18517,19087,19744,21762,23412,25542,26878,27730,27790,27632,27220,26694,26072,25794,25794,25803,25381,24834,24322,24260,24379,24675,25016,25874,27160,28234,29060,29498,30010,30259,30377,30257,30602,30487,29099,27853,26121,24070,22642
56,21384,20856,20316,19968,19620,19273,19055,18965,18917,19025,19611,20066,21772,23405,25551,26944,28292,29024,29522,29520,29630,29718,29810,29882,29925,29713,29413,29001,28811,28733,28335,28313,28807,29247,29885,29963,30038,29674,29303,28850,28440,28344,27920,26768,25305,23990,22309,21017
57,19906,19159,18538,18244,17794,17374,17119,17091,17046,16996,17226,17340,18319,19186,20300,20972,21830,22145,22452,22397,22332,22215,21860,21358,20798,20332,19758,19012,18724,18425,18535,18872,19937,21124,22581,23904,24456,24957,25195,25271,25210,25726,25394,24551,23469,22563,21238,19999
58,19127,18516,17956,17656,17291,16966,16732,16664,16559,16448,16596,16629,16968,17473,18156,18885,19814,20280,20789,21014,21114,20789,20771,20386,20248,19795,19080,19053,19069,18975,19174,19721,20860,21631,22855,23714,24361,24821,25182,25449,25584,25651,25417,24665,23980,22549,20861,19679
59,18730,18163,17777,17632,17367,16972,16832,16790,17001,17245,18201,19016,21156,22754,25028,26318,27582,27628,27675,27490,27137,26834,26660,26348,26236,26307,26179,25971,25800,25611,25756,25863,26338,27541,28506,29175,29969,30271,30324,30227,30105,30113,29707,28549,27162,25292,23411,22054
60,20904,20252,19864,19584,19352,19073,18909,18789,18967,19281,20174,21072,22729,24776,27047,27966,29031,29188,29160,28669,28159,27914,27903,27795,27821,27589,27227,26777,26624,26515,26474,26930,27652,28892,30099,30728,30963,31403,31663,31503,31424,31865,31204,29918,28314,26494,24654,23129
61,21925,21267,20763,20529,20235,19969,19709,19452,19478,19633,20364,21212,22978,24676,26891,27931,28652,28800,28972,28894,28191,27592,27146,26849,26920,26739,26628,26429,26306,26475,26671,27122,27707,28797,29579,30067,30457,30465,30275,30245,30345,30491,29904,28145,26429,24621,22924,21696
62,20479,19892,19362,19242,18842,18466,18275,18126,18245,18537,19308,20149,22195,23862,26158,27217,27971,27941,27867,27355,26949,27148,27326,27400,27636,27442,27193,26953,26818,26690,26587,26944,27820,28788,29527,30234,30609,30521,30565,30548,30584,30939,30025,28628,27005,25435,23787,22490
63,21373,20595,20069,19649,19423,19105,18981,18934,19065,19120,19966,20742,22719,24425,26742,28117,29206,29439,29382,29010,28484,27928,27387,27170,26702,26209,25730,25323,25265,25260,25524,25946,26331,27317,28196,29074,29376,29559,29911,29633,29592,29793,29163,28112,27146,25717,24257,23008
64,21938,21034,20394,20188,19884,19424,19241,19223,19170,19198,19374,19595,20331,20901,22068,22787,23762,24146,24308,24039,23830,23626,23010,22533,22356,22009,21486,21250,21111,21070,21053,21475,22538,23741,25328,26074,26973,27350,27538,27485,27597,27954,27334,26152,25387,24524,23581,22431
65,21589,20914,20364,20021,19698,19277,19016,18923,18810,18770,18861,18874,19274,19691,20459,21206,21967,22596,22836,22914,23007,22874,22777,22606,22431,22347,21965,21541,21394,21366,21630,22254,22984,23924,24954,25821,26581,26929,27462,27667,27943,28240,27916,27088,26299,25124,23800,22659
66,21595,21047,20608,20202,19816,19477,19278,19256,19242,19311,19716,20113,20762,21539,22701,23404,24143,24630,25165,25365,25061,24788,24524,24162,23863,23586,23151,22851,22755,22796,23188,23954,24655,25730,27529,28549,29042,29265,29562,29495,29972,30282,29597,28831,27571,26102,24532,23217
67,22105,21480,21060,20689,20354,20086,20005,19992,20009,20172,20977,21687,23692,25502,27814,29130,30264,30590,30272,30173,29872,29889,29810,30021,30174,29917,29970,30050,30118,30270,30354,30882,31744,32473,33170,33603,33706,33591,33523,33100,33763,33246,32164,30741,29007,27405,25697,24409
68,23241,22460,21870,21412,20983,20623,20430,20205,20289,20584,21348,22296,24064,25757,28107,29477,30673,31242,31468,31226,30839,30636,30480,30303,30443,30108,29954,29937,29965,30018,30223,30601,31179,32001,32520,32700,32950,32908,32514,31925,32184,31996,31209,29614,28012,26111,24681,23325
69,22089,21421,20845,20598,20228,19976,19716,19601,19661,19811,20518,21489,23364,25172,27122,28503,29125,28784,28544,27924,27200,26606,26172,26145,26103,26028,25842,25778,25682,25852,26145,26592,26821,27716,28781,29194,29724,30113,30439,30327,30490,30391,29445,27918,26294,24731,22949,21602
70,20446,19654,19048,18836,18403,18022,17926,17820,17853,17946,18623,19590,21318,23005,25307,26752,27638,27719,28027,27676,27129,26737,26438,26248,26027,25725,25260,24843,24567,24724,24558,24846,25386,26407,27254,27876,28295,28515,28647,28351,28952,28732,28029,27077,25659,24082,22703,21376
71,20062,19418,18589,18091,17837,17453,17146,16841,16633,16462,16731,17118,17892,18521,19843,20761,21855,22339,22859,22986,22644,22490,22500,22512,22507,22350,21429,20970,20513,20400,20603,20847,21448,22668,24017,25003,25644,25871,26256,26617,27310,27350,26447,25480,24559,23641,22247,21028
72,19784,18982,18250,17982,17551,17119,16943,16849,16900,16721,16891,17233,17536,17997,18996,19608,20478,20711,21144,21192,21175,21097,21234,21490,21542,21468,21219,20995,20760,20484,20723,21001,22006,23020,24202,25318,26082,26964,27235,27477,27906,27731,27012,26127,25201,23836,22173,20974
73,20014,19363,19061,18928,18547,18346,18134,18112,18222,18443,19243,20338,22433,24390,26803,27830,28505,28728,28580,27773,27190,26701,26554,26765,27144,27171,27151,27209,27438,27694,28067,28574,29306,29965,30772,31338,31276,31360,31187,31110,31357,30458,29193,27309,25612,23852,22090,20875
74,19859,19261,18835,18788,18640,18275,18341,18331,18511,18821,19649,20698,22835,25037,27851,29234,30252,30220,30159,29738,29168,28963,28952,29008,28969,28786,28700,28486,28496,28389,28514,29156,29823,30663,31556,31787,31869,31924,32034,31976,32308,31431,30032,28270,26597,24594,22953,21507
75,20425,19782,19331,19320,19017,18816,18679,18694,18634,18847,19452,20453,22941,25062,28052,29349,29882,29260,28881,28228,27301,26782,26713,25984,25741,25386,25426,25140,25016,25294,25469,26239,27170,28576,29328,29675,30125,30332,30362,30357,30799,29869,28360,26659,25066,23328,21603,20504
76,19397,18759,18424,18227,18122,18091,17843,17933,18091,18375,19308,20288,22849,25076,27912,28722,29201,28829,28295,27980,27469,27091,26967,26788,26956,27114,26635,26451,26155,25870,25699,26366,27485,28655,29792,30333,30761,31353,31760,32048,32339,31384,30093,28729,26932,25104,23069,21543
77,20300,19520,18786,18575,18227,17880,17685,17559,17421,17629,18457,19597,22064,24209,27089,28617,29786,30096,30425,30296,29848,29800,29404,29135,29124,29011,28598,27956,27393,26905,26596,26975,27806,28383,28869,29198,29969,29835,29801,29953,30165,29257,28234,27593,26428,24929,23491,22273
78,21191,20441,19923,19704,19290,19013,18752,18546,18522,18542,19064,19463,20518,21476,22944,24222,25432,25826,26056,25806,25689,25662,25563,25447,25388,25399,24565,24236,23572,23381,23506,23594,24270,25242,26521,27449,28144,28668,28984,29120,29624,29179,28183,27171,25984,24674,23313,22121
79,21097,20413,19843,19592,19325,19118,18906,18636,18671,18396,18724,19056,19549,19862,20835,21563,22545,22973,23337,23352,23257,23210,23236,23192,23353,23356,23135,22921,22770,22816,23203,23952,24695,26044,27482,28369,28937,29459,29746,30099,30462,29587,28964,27618,26189,24305,22884,21619
80,20550,20023,19714,19553,19340,19047,18801,18734,18921,19103,19783,21122,23982,26528,29561,31365,32511,32532,33309,33491,33519,33702,33952,33752,33791,33562,33221,32774,32488,32422,32321,32923,34039,34860,35467,35590,35565,35444,35189,35425,34992,33613,32213,30414,28447,26379,24686,23401
81,22276,21640,21357,21156,20899,20664,20456,20446,20529,20682,21513,22816,25423,27682,30563,31474,31833,31385,31344,31461,30889,30356,29915,29988,30091,30080,29787,29747,29660,29558,29258,29967,30690,31495,32227,32911,33190,33399,33708,34124,33886,32654,30940,29118,26983,24913,22916,21415
82,20153,19345,18884,18698,18184,17864,17681,17367,17445,17542,18435,19514,22590,24879,27867,29487,30443,30271,30587,30391,29740,29572,29479,29344,29223,29065,28781,28568,28182,27941,27730,28452,29385,30400,31316,31773,32042,32143,32283,32950,33294,32234,31009,29253,27675,25743,23890,22717
83,21647,20967,20549,20341,20000,19723,19530,19424,19401,19648,20348,21450,24003,26578,29275,30267,30785,30688,31306,31002,30487,29888,29686,29510,29690,29471,29066,28514,28143,28036,27923,28474,29546,30636,31509,32015,32377,32527,33048,33483,33056,32050,30902,29386,27580,26061,24264,22804
84,21586,20728,20393,20401,20133,19782,19564,19631,19674,19847,20761,21786,24350,26638,29745,31012,31300,30690,30125,29475,28759,28022,27466,26984,26849,26450,25960,25541,25408,25310,25371,26017,27057,28250,29651,30470,30981,31457,31772,32173,31848,31160,30233,28978,27509,25966,24328,22977
85,21959,21210,20603,20202,19889,19484,19299,19041,18997,18924,19258,19706,20737,21427,22943,23642,24270,24540,24491,23899,23519,23044,22302,21669,21371,21155,20708,20421,20141,20271,20541,20870,21896,23205,24988,25960,26706,27286,27557,28267,28291,27474,26409,25309,24069,23043,21494,20552
86,19361,18648,18230,18014,17514,17177,16930,16841,16752,16763,16945,17468,18405,18789,19646,20590,21604,22283,22922,23228,23575,23646,23571,23683,24010,24066,24060,23846,23997,24053,24658,25314,26435,27634,29043,29883,30193,30347,30708,31349,31056,30056,29178,27871,26494,24920,23331,22194
87,21250,20681,20396,20255,20121,19762,19626,19593,19678,19889,20479,21797,24599,27041,30064,31379,32534,32141,32554,32587,32351,32511,32554,32432,32310,32000,31584,31324,31115,31160,31054,31620,32417,33168,33821,34071,34162,34282,34861,35067,34499,33373,31888,29937,28039,26122,24361,22944
88,21815,21063,20675,20440,20230,19926,19719,19699,19824,20003,20873,22118,24674,27259,30277,31337,31691,31097,30512,29737,28619,28181,27848,27665,27572,27185,26829,26578,26699,26748,27172,28126,29350,30776,32187,32831,33389,33757,34205,34726,34321,33272,32028,30585,28647,26830,25092,23709
89,22706,22101,21668,21498,21209,20959,20829,20790,20899,21075,21836,23014,25681,28224,30706,31943,31796,31292,30932,30522,29995,29684,29448,29066,29156,28813,28203,28020,28018,27959,28329,29410,30562,31916,33036,33483,34271,34738,35124,35437,34898,34056,32799,30995,29188,27451,25602,24090
90,23033,22413,21890,21785,21590,21292,21057,20975,21073,21335,21942,23181,25916,28230,31227,32248,32541,31855,31586,30989,29929,29220,28279,27957,27770,27579,27471,27217,27290,27318,27645,28458,29760,30935,32294,32935,33708,34104,34731,35404,34945,33783,32220,30536,28793,26853,25057,23607
91,22403,21797,21513,21345,21015,20763,20509,20473,20558,20735,21368,22518,25315,27522,30381,31445,31702,31284,30462,29810,28848,28390,27798,27405,27076,26612,26005,25547,25351,25125,25203,25996,26826,27921,29283,30393,31066,31517,31833,32683,31943,30509,29235,27837,26037,24570,22919,21622
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
st_dev,1229.536624,1186.502879,1153.223233,1149.006026,1149.626705,1151.461019,1161.370158,1174.928821,1200.27483,1287.02383,1495.742324,2115.665089,2675.44593,3369.786222,3663.182997,3683.519657,3480.467833,3254.181197,3067.415288,2906.849187,2819.036051,2809.701517,2833.555406,2875.660003,2898.711073,2934.436463,2990.324056,3032.707622,3066.957669,3048.436863,3038.661937,3048.97018,3002.627213,2883.674724,2710.450429,2569.453468,2465.572762,2401.613112,2398.464488,2374.644659,2232.15138,2008.867519,1817.295626,1679.713054,1624.235165,1582.279346,1443.554746,1234.735096
hour,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,
avg_stadard_deviton_hourly,1208.019751,,1151.114629,,1150.543862,,1168.149489,,1243.64933,,1805.703706,,3022.616076,,3673.351327,,3367.324515,,2987.132237,,2814.368784,,2854.607705,,2916.573768,,3011.515839,,3057.697266,,3043.816058,,2943.150968,,2639.951949,,2433.592937,,2386.554574,,2120.50945,,1748.50434,,1603.257255,,1339.144921,
avg_standard_deviation_pu,0.05716647,,0.057214024,,0.059081903,,0.061227888,,0.065262835,,0.091000261,,0.132747831,,0.140308068,,0.12146739,,0.107015023,,0.102377446,,0.104878028,,0.107940613,,0.113765092,,0.116990512,,0.11541778,,0.106247407,,0.09023044,,0.081356963,,0.079305447,,0.071217061,,0.061034916,,0.060852209,,0.057526229,
